antecedents,consequents,support,confidence,lift
"Dini_Hari, STREET, Minggu_4",ARREST_NO,0.033,0.9428571428571428,1.1184544992374175
"Dini_Hari, STREET","Weekday, ARREST_NO",0.033,0.9428571428571428,1.1184544992374175
"Dini_Hari, Weekday, STREET, Minggu_4",ARREST_NO,0.033,0.9428571428571428,1.1184544992374175
"ARREST_NO, Area_Utara","Weekday, Minggu_4",0.143,0.7044334975369457,1.1181484087888027
"ARREST_NO, Area_Utara",Minggu_4,0.143,0.7044334975369457,1.1181484087888027
"Weekday, ARREST_NO, Area_Utara",Minggu_4,0.143,0.7044334975369457,1.1181484087888027
"Weekday, BATTERY, Area_Utara",ARREST_NO,0.032,0.9411764705882353,1.116460819203126
"BATTERY, Area_Utara",ARREST_NO,0.032,0.9411764705882353,1.116460819203126
"BATTERY, Area_Utara","Weekday, ARREST_NO",0.032,0.9411764705882353,1.116460819203126
"APARTMENT, Area_Utara",ARREST_NO,0.03,0.9375,1.112099644128114
"Siang, ASSAULT",ARREST_NO,0.045,0.9375,1.112099644128114
"Weekday, Siang, ASSAULT",ARREST_NO,0.045,0.9375,1.112099644128114
"Siang, ASSAULT","ARREST_NO, Weekday",0.045,0.9375,1.112099644128114
"APARTMENT, Area_Utara","Weekday, ARREST_NO",0.03,0.9375,1.112099644128114
"APARTMENT, Weekday, Area_Utara",ARREST_NO,0.03,0.9375,1.112099644128114
"Weekday, Malam, CRIMINAL DAMAGE",ARREST_NO,0.044,0.9361702127659574,1.110522197824386
"Malam, CRIMINAL DAMAGE","ARREST_NO, Weekday",0.044,0.9361702127659574,1.110522197824386
"Malam, CRIMINAL DAMAGE",ARREST_NO,0.044,0.9361702127659574,1.110522197824386
"THEFT, Siang, Minggu_4","ARREST_NO, Weekday",0.058,0.935483870967742,1.109708031990204
"THEFT, Siang, Minggu_4",ARREST_NO,0.058,0.935483870967742,1.109708031990204
"Weekday, THEFT, Siang, Minggu_4",ARREST_NO,0.058,0.935483870967742,1.109708031990204
CRIMINAL DAMAGE,ARREST_NO,0.111,0.9327731092436975,1.1064924190316696
"Weekday, CRIMINAL DAMAGE",ARREST_NO,0.111,0.9327731092436975,1.1064924190316696
CRIMINAL DAMAGE,"Weekday, ARREST_NO",0.111,0.9327731092436975,1.1064924190316696
"THEFT, Minggu_4",ARREST_NO,0.143,0.9285714285714285,1.1015082189459413
"THEFT, Minggu_4","ARREST_NO, Weekday",0.143,0.9285714285714285,1.1015082189459413
"Weekday, THEFT, Minggu_4",ARREST_NO,0.143,0.9285714285714285,1.1015082189459413
"Minggu_4, Siang, Area_Utara",ARREST_NO,0.05,0.925925925925926,1.0983700188919645
"Minggu_4, Siang, Area_Utara","ARREST_NO, Weekday",0.05,0.925925925925926,1.0983700188919645
"Weekday, Siang, Minggu_4, Area_Utara",ARREST_NO,0.05,0.925925925925926,1.0983700188919645
"Weekday, MOTOR VEHICLE THEFT, STREET",ARREST_NO,0.049,0.9245283018867925,1.096712101882316
"MOTOR VEHICLE THEFT, STREET","Weekday, ARREST_NO",0.049,0.9245283018867925,1.096712101882316
"MOTOR VEHICLE THEFT, STREET",ARREST_NO,0.049,0.9245283018867925,1.096712101882316
"Weekday, STREET, Area_Utara",ARREST_NO,0.036,0.923076923076923,1.094990418833835
"STREET, Area_Utara","Weekday, ARREST_NO",0.036,0.923076923076923,1.094990418833835
"STREET, Area_Utara",ARREST_NO,0.036,0.923076923076923,1.094990418833835
"CRIMINAL DAMAGE, Minggu_4","Weekday, ARREST_NO",0.071,0.922077922077922,1.0938053642679977
"Weekday, CRIMINAL DAMAGE, Minggu_4",ARREST_NO,0.071,0.922077922077922,1.0938053642679977
"CRIMINAL DAMAGE, Minggu_4",ARREST_NO,0.071,0.922077922077922,1.0938053642679977
"THEFT, Malam, Minggu_4","ARREST_NO, Weekday",0.034,0.9189189189189191,1.0900580295598092
"Area_Lainnya, THEFT",ARREST_NO,0.034,0.9189189189189191,1.0900580295598092
"Weekday, THEFT, Malam, Minggu_4",ARREST_NO,0.034,0.9189189189189191,1.0900580295598092
"Area_Lainnya, THEFT","ARREST_NO, Weekday",0.034,0.9189189189189191,1.0900580295598092
"Area_Lainnya, Weekday, THEFT",ARREST_NO,0.034,0.9189189189189191,1.0900580295598092
"THEFT, Malam, Minggu_4",ARREST_NO,0.034,0.9189189189189191,1.0900580295598092
