id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13814409,JJ228517,2025-04-22 21:30:00,024XX N SACRAMENTO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1414,14,35,22,07,1155963.0,1916052.0,2025,2025-04-30T15:40:44.000,41.925440031,-87.70233809,"
,  
(41.925440031, -87.70233809)"
13814801,JJ229033,2025-04-22 21:30:00,036XX W NORTH AVE,0810,THEFT,OVER $500,RESIDENCE,False,True,2535,25,26,23,06,1151634.0,1910384.0,2025,2025-04-30T15:40:44.000,41.909972846,-87.718394345,"
,  
(41.909972846, -87.718394345)"
13815699,JJ228258,2025-04-22 21:30:00,079XX S SOUTH CHICAGO AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",CHA PARKING LOT / GROUNDS,False,False,411,4,8,46,07,1188641.0,1852591.0,2025,2025-04-30T15:40:44.000,41.750577197,-87.584298575,"
,  
(41.750577197, -87.584298575)"
13813995,JJ227972,2025-04-22 21:30:00,006XX N CLARK ST,0460,BATTERY,SIMPLE,RESTAURANT,False,False,1832,18,42,8,08B,1175432.0,1904246.0,2025,2025-04-30T15:40:44.000,41.892628411,-87.63115524,"
,  
(41.892628411, -87.63115524)"
13813922,JJ227967,2025-04-22 21:30:00,0000X E ROOSEVELT RD,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,SIDEWALK,True,False,123,1,4,32,14,1177113.0,1895081.0,2025,2025-04-30T15:40:44.000,41.867441224,-87.625259375,"
,  
(41.867441224, -87.625259375)"
13813958,JJ227968,2025-04-22 21:24:00,105XX S CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,2211,22,19,72,08B,1161577.0,1834616.0,2025,2025-04-30T15:40:44.000,41.701854618,-87.683970703,"
,  
(41.701854618, -87.683970703)"
13813981,JJ227971,2025-04-22 21:16:00,009XX S CLARK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,123,1,34,32,08B,1175663.0,1896131.0,2025,2025-04-30T15:40:44.000,41.870355187,-87.630550934,"
,  
(41.870355187, -87.630550934)"
13813963,JJ227961,2025-04-22 21:11:00,023XX W TAYLOR ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,False,False,1225,12,28,28,26,1160966.0,1895521.0,2025,2025-04-30T15:40:44.000,41.868998803,-87.684525154,"
,  
(41.868998803, -87.684525154)"
13814001,JJ227941,2025-04-22 21:10:00,063XX S EVANS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,312,3,20,42,15,1182307.0,1863202.0,2025,2025-04-30T15:40:44.000,41.779843815,-87.607180795,"
,  
(41.779843815, -87.607180795)"
13815044,JJ227956,2025-04-22 21:09:00,033XX N KIMBALL AVE,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,False,False,1732,17,35,21,03,1153130.0,1922068.0,2025,2025-04-30T15:40:44.000,41.942005143,-87.71258789,"
,  
(41.942005143, -87.71258789)"
